"","trimestre","setor","formais","informais"
"1","2019/4T","Administração pública, defesa e seguridade social",35107,4659
"2","2019/4T","Agricultura, pecuária, produção florestal, pesca e aquicultura",11915,23964
"3","2019/4T","Comércio, reparação de veículos automotores e motocicletas",25150,16744
"4","2019/4T","Construção",5422,10752
"5","2019/4T","Indústria geral",18079,8114
"6","2019/4T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",16365,4651
"7","2019/4T","Outros Serviços",15997,23709
"8","2019/4T","Transporte, armazenagem e correio",5986,4461
"9","2020/1T","Administração pública, defesa e seguridade social",31175,3920
"10","2020/1T","Agricultura, pecuária, produção florestal, pesca e aquicultura",10595,21572
"11","2020/1T","Atividades mal definidas",0,44
"12","2020/1T","Comércio, reparação de veículos automotores e motocicletas",22323,14489
"13","2020/1T","Construção",4656,8947
"14","2020/1T","Indústria geral",16252,6738
"15","2020/1T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",14824,4146
"16","2020/1T","Outros Serviços",13917,20644
"17","2020/1T","Transporte, armazenagem e correio",5414,3985
"18","2020/2T","Administração pública, defesa e seguridade social",25198,2579
"19","2020/2T","Agricultura, pecuária, produção florestal, pesca e aquicultura",7892,14056
"20","2020/2T","Atividades mal definidas",14,0
"21","2020/2T","Comércio, reparação de veículos automotores e motocicletas",16209,9204
"22","2020/2T","Construção",3301,5490
"23","2020/2T","Indústria geral",11848,4039
"24","2020/2T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",11300,2765
"25","2020/2T","Outros Serviços",9108,11984
"26","2020/2T","Transporte, armazenagem e correio",3803,2615
"27","2020/3T","Administração pública, defesa e seguridade social",23959,2351
"28","2020/3T","Agricultura, pecuária, produção florestal, pesca e aquicultura",7658,15021
"29","2020/3T","Comércio, reparação de veículos automotores e motocicletas",15539,9447
"30","2020/3T","Construção",3225,6167
"31","2020/3T","Indústria geral",11015,4306
"32","2020/3T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",10669,2654
"33","2020/3T","Outros Serviços",8275,11823
"34","2020/3T","Transporte, armazenagem e correio",3536,2469
"35","2020/4T","Administração pública, defesa e seguridade social",22385,2274
"36","2020/4T","Agricultura, pecuária, produção florestal, pesca e aquicultura",7021,14288
"37","2020/4T","Atividades mal definidas",35,16
"38","2020/4T","Comércio, reparação de veículos automotores e motocicletas",14499,9255
"39","2020/4T","Construção",3134,6002
"40","2020/4T","Indústria geral",10163,4176
"41","2020/4T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",10063,2674
"42","2020/4T","Outros Serviços",7667,11915
"43","2020/4T","Transporte, armazenagem e correio",3330,2391
"44","2021/1T","Administração pública, defesa e seguridade social",20776,2003
"45","2021/1T","Agricultura, pecuária, produção florestal, pesca e aquicultura",6683,14041
"46","2021/1T","Atividades mal definidas",38,32
"47","2021/1T","Comércio, reparação de veículos automotores e motocicletas",13517,8722
"48","2021/1T","Construção",2977,5811
"49","2021/1T","Indústria geral",9807,3809
"50","2021/1T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",9545,2638
"51","2021/1T","Outros Serviços",7206,11213
"52","2021/1T","Transporte, armazenagem e correio",3221,2360
"53","2021/2T","Administração pública, defesa e seguridade social",22908,2545
"54","2021/2T","Agricultura, pecuária, produção florestal, pesca e aquicultura",7863,16301
"55","2021/2T","Atividades mal definidas",40,45
"56","2021/2T","Comércio, reparação de veículos automotores e motocicletas",15351,9827
"57","2021/2T","Construção",3460,6703
"58","2021/2T","Indústria geral",11331,4451
"59","2021/2T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",10538,2969
"60","2021/2T","Outros Serviços",8227,12905
"61","2021/2T","Transporte, armazenagem e correio",3620,2702
"62","2021/3T","Administração pública, defesa e seguridade social",27344,3301
"63","2021/3T","Agricultura, pecuária, produção florestal, pesca e aquicultura",9850,20944
"64","2021/3T","Atividades mal definidas",48,33
"65","2021/3T","Comércio, reparação de veículos automotores e motocicletas",19191,12937
"66","2021/3T","Construção",4571,8660
"67","2021/3T","Indústria geral",14071,5917
"68","2021/3T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",12880,3711
"69","2021/3T","Outros Serviços",10539,17094
"70","2021/3T","Transporte, armazenagem e correio",4456,3416
