"","trimestre","VD4010","rendimento_medio_nominal"
"1","2019/4T","Agricultura, pecuária, produção florestal, pesca e aquicultura",1395.88
"2","2019/4T","Indústria geral",2368.71
"3","2019/4T","Construção",1788.01
"4","2019/4T","Comércio, reparação de veículos automotores e motocicletas",1900.09
"5","2019/4T","Transporte, armazenagem e correio ",2272.99
"6","2019/4T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",3432.97
"7","2019/4T","Administração pública, defesa e seguridade social ",3729.08
"8","2019/4T","Outros Serviços",1392.25
"9","2019/4T","Atividades mal definidas",1261.48
"10","2020/1T","Agricultura, pecuária, produção florestal, pesca e aquicultura",1448.59
"11","2020/1T","Indústria geral",2460.43
"12","2020/1T","Construção",1861.29
"13","2020/1T","Comércio, reparação de veículos automotores e motocicletas",1962.29
"14","2020/1T","Transporte, armazenagem e correio ",2285.74
"15","2020/1T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",3478.07
"16","2020/1T","Administração pública, defesa e seguridade social ",3723.57
"17","2020/1T","Outros Serviços",1410.38
"18","2020/1T","Atividades mal definidas",1575.65
"19","2020/2T","Agricultura, pecuária, produção florestal, pesca e aquicultura",1453.24
"20","2020/2T","Indústria geral",2596.87
"21","2020/2T","Construção",1986.41
"22","2020/2T","Comércio, reparação de veículos automotores e motocicletas",1985.03
"23","2020/2T","Transporte, armazenagem e correio ",2327.17
"24","2020/2T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",3373.61
"25","2020/2T","Administração pública, defesa e seguridade social ",3789.18
"26","2020/2T","Outros Serviços",1467.45
"27","2020/2T","Atividades mal definidas",1791.85
"28","2020/3T","Agricultura, pecuária, produção florestal, pesca e aquicultura",1473.15
"29","2020/3T","Indústria geral",2669.19
"30","2020/3T","Construção",1889.5
"31","2020/3T","Comércio, reparação de veículos automotores e motocicletas",2043.03
"32","2020/3T","Transporte, armazenagem e correio ",2222.27
"33","2020/3T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",3667.82
"34","2020/3T","Administração pública, defesa e seguridade social ",3940.75
"35","2020/3T","Outros Serviços",1393.96
"36","2020/3T","Atividades mal definidas",1240.65
"37","2020/4T","Agricultura, pecuária, produção florestal, pesca e aquicultura",1487.99
"38","2020/4T","Indústria geral",2561.54
"39","2020/4T","Construção",1816.16
"40","2020/4T","Comércio, reparação de veículos automotores e motocicletas",1977.39
"41","2020/4T","Transporte, armazenagem e correio ",2176.54
"42","2020/4T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",3565.07
"43","2020/4T","Administração pública, defesa e seguridade social ",3966.19
"44","2020/4T","Outros Serviços",1387.85
"45","2020/4T","Atividades mal definidas",2354.07
"46","2021/1T","Agricultura, pecuária, produção florestal, pesca e aquicultura",1499.07
"47","2021/1T","Indústria geral",2457.72
"48","2021/1T","Construção",1800.15
"49","2021/1T","Comércio, reparação de veículos automotores e motocicletas",1990.12
"50","2021/1T","Transporte, armazenagem e correio ",2242.24
"51","2021/1T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",3517.21
"52","2021/1T","Administração pública, defesa e seguridade social ",4174.29
"53","2021/1T","Outros Serviços",1437.49
"54","2021/1T","Atividades mal definidas",1864.24
"55","2021/2T","Agricultura, pecuária, produção florestal, pesca e aquicultura",1528.55
"56","2021/2T","Indústria geral",2456.03
"57","2021/2T","Construção",1804.52
"58","2021/2T","Comércio, reparação de veículos automotores e motocicletas",1964.35
"59","2021/2T","Transporte, armazenagem e correio ",2229.53
"60","2021/2T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",3680.97
"61","2021/2T","Administração pública, defesa e seguridade social ",4045.86
"62","2021/2T","Outros Serviços",1380.9
"63","2021/2T","Atividades mal definidas",1672.56
