"","trimestre","setor","rendimento_medio_real"
"1","2019/4T","Agricultura, pecuária, produção florestal, pesca e aquicultura",1498.94
"2","2019/4T","Indústria geral",2738.8
"3","2019/4T","Construção",1933.55
"4","2019/4T","Comércio, reparação de veículos automotores e motocicletas",2138.94
"5","2019/4T","Transporte, armazenagem e correio ",2563.42
"6","2019/4T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",3920.32
"7","2019/4T","Administração pública, defesa e seguridade social ",4652.72
"8","2019/4T","Outros Serviços",1900.15
"9","2020/1T","Agricultura, pecuária, produção florestal, pesca e aquicultura",1571.89
"10","2020/1T","Indústria geral",3046.24
"11","2020/1T","Construção",2031.56
"12","2020/1T","Comércio, reparação de veículos automotores e motocicletas",2277.87
"13","2020/1T","Transporte, armazenagem e correio ",2620.29
"14","2020/1T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",4062.04
"15","2020/1T","Administração pública, defesa e seguridade social ",4973.06
"16","2020/1T","Outros Serviços",1988.6
"17","2020/2T","Agricultura, pecuária, produção florestal, pesca e aquicultura",1495.48
"18","2020/2T","Indústria geral",2687.06
"19","2020/2T","Construção",1893.06
"20","2020/2T","Comércio, reparação de veículos automotores e motocicletas",1897.13
"21","2020/2T","Transporte, armazenagem e correio ",2202.56
"22","2020/2T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",3364.76
"23","2020/2T","Administração pública, defesa e seguridade social ",4321.12
"24","2020/2T","Outros Serviços",1675.15
"25","2020/3T","Agricultura, pecuária, produção florestal, pesca e aquicultura",1481.99
"26","2020/3T","Indústria geral",2740.93
"27","2020/3T","Construção",1804.82
"28","2020/3T","Comércio, reparação de veículos automotores e motocicletas",2028.5
"29","2020/3T","Transporte, armazenagem e correio ",2177.52
"30","2020/3T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",3662.83
"31","2020/3T","Administração pública, defesa e seguridade social ",4647.01
"32","2020/3T","Outros Serviços",1691.99
"33","2020/4T","Agricultura, pecuária, produção florestal, pesca e aquicultura",1500.61
"34","2020/4T","Indústria geral",2757.64
"35","2020/4T","Construção",1811.74
"36","2020/4T","Comércio, reparação de veículos automotores e motocicletas",2035.01
"37","2020/4T","Transporte, armazenagem e correio ",2207.26
"38","2020/4T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",3723.73
"39","2020/4T","Administração pública, defesa e seguridade social ",4609.63
"40","2020/4T","Outros Serviços",1801.91
"41","2021/1T","Agricultura, pecuária, produção florestal, pesca e aquicultura",1571.89
"42","2021/1T","Indústria geral",3046.24
"43","2021/1T","Construção",2031.56
"44","2021/1T","Comércio, reparação de veículos automotores e motocicletas",2277.87
"45","2021/1T","Transporte, armazenagem e correio ",2620.29
"46","2021/1T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",4062.04
"47","2021/1T","Administração pública, defesa e seguridade social ",4973.06
"48","2021/1T","Outros Serviços",1988.6
"49","2021/2T","Agricultura, pecuária, produção florestal, pesca e aquicultura",1612.95
"50","2021/2T","Indústria geral",2491.23
"51","2021/2T","Construção",1722.63
"52","2021/2T","Comércio, reparação de veículos automotores e motocicletas",1907.97
"53","2021/2T","Transporte, armazenagem e correio ",2170.98
"54","2021/2T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",3714.93
"55","2021/2T","Administração pública, defesa e seguridade social ",4457.16
"56","2021/2T","Outros Serviços",1721.76
"57","2021/3T","Agricultura, pecuária, produção florestal, pesca e aquicultura",1502.73
"58","2021/3T","Indústria geral",2484.23
"59","2021/3T","Construção",1801.87
"60","2021/3T","Comércio, reparação de veículos automotores e motocicletas",1923.73
"61","2021/3T","Transporte, armazenagem e correio ",2339.91
"62","2021/3T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",3593.95
"63","2021/3T","Administração pública, defesa e seguridade social ",4362.79
"64","2021/3T","Outros Serviços",1713.83
"65","2019/4T","Total",2644.34
"66","2020/1T","Total",2819.48
"67","2020/2T","Total",2489.04
"68","2020/3T","Total",2589.44
"69","2020/4T","Total",2617.65
"70","2021/1T","Total",2819.48
"71","2021/2T","Total",2510.44
"72","2021/3T","Total",2451.49
